trajectory_id,label,scenario,anomaly_reason
SCTD-0001,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0002,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0003,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0004,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0005,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0006,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0007,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0008,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0009,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0010,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0011,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0012,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0013,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0014,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0015,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0016,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0017,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0018,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0019,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0020,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0021,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0022,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0023,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0024,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0025,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0026,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0027,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0028,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0029,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0030,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0031,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
SCTD-0032,0,normal_tourist_movement,"Normal controlled trajectory generated within planned route, mode and schedule tolerances."
